,portfolio_basis,portfolio_delta,percent_change
2016-12-05,248320501.49,-46130052.77000001,-0.18576820074542935
2016-12-06,248320501.49,-45899142.06000001,-0.18483831091106423
2016-12-07,248336307.5,-43762214.830000006,-0.17622157335974728
2016-12-08,248351307.5,-43215206.66,-0.17400837183029527
2016-12-09,248351307.5,-42998763.25000001,-0.17313685070894988
2016-12-10,248351307.5,-32903397.73,-0.13248731428563146
2016-12-11,248351307.5,-32903397.73,-0.13248731428563146
2016-12-12,248351307.5,-42653333.35,-0.17174595849470212
2016-12-13,248366307.5,-42589981.53000001,-0.1714805118242538
2016-12-14,248396307.5,-44057321.220000006,-0.17736705373528955
2016-12-15,248503850.83999997,-44499458.46,-0.17906949252328136
2016-12-16,248683850.83999997,-43810538.17999999,-0.17616961468152242
2016-12-17,248728850.83999997,-32903736.81,-0.13228757620548817
2016-12-18,248728850.83999997,-32903736.81,-0.13228757620548817
2016-12-19,248728850.83999997,-43845944.21,-0.17628008999327874
2016-12-20,248728850.83999997,-43673841.66000001,-0.1755881616165795
2016-12-21,248728850.83999997,-43287756.160000004,-0.17403592713032617
2016-12-22,248728850.83999997,-43370461.88,-0.17436844070774465
2016-12-23,248743850.83999997,-43509180.37,-0.17491560182521457
2016-12-24,248743850.83999997,-32898748.62,-0.13225954534715928
2016-12-25,248743850.83999997,-32898748.62,-0.13225954534715928
2016-12-26,248743850.83999997,-32898748.62,-0.13225954534715928
2016-12-27,248743850.83999997,-43404587.19000001,-0.17449511633523448
2016-12-28,248743850.83999997,-44350468.83000001,-0.17829774959352726
2016-12-29,248743850.83999997,-43900639.440000005,-0.17648934553255874
2016-12-30,248743850.83999997,-44155888.11,-0.17751549620578352
2016-12-31,248898419.13,-32870979.25,-0.13206584181971617
2017-01-01,248898419.13,-32870979.25,-0.13206584181971617
2017-01-02,248898419.13,-32862558.62,-0.13203201022677383
2017-01-03,248898419.13,-43752157.43,-0.17578318730561396
2017-01-04,248984120.59,-43046822.60999999,-0.17288983131934274
2017-01-05,249499120.59,-43047074.589999996,-0.17253397321884323
2017-01-06,249499120.59,-42739135.97000001,-0.17129974594272382
2017-01-07,249499120.59,-32870979.25,-0.1317478761939872
2017-01-08,249499120.59,-32870979.25,-0.1317478761939872
2017-01-09,249499120.59,-43292578.400000006,-0.17351795989350347
2017-01-10,249529120.59,-43348733.190000005,-0.17372214147793227
2017-01-11,249529120.59,-42890870.120000005,-0.17188723311566417
2017-01-12,249644120.59,-43144104.16,-0.17282243242113918
2017-01-13,249711971.8,-43023832.23,-0.17229383084788086
2017-01-14,249711971.8,-32870979.25,-0.13163557603208192
2017-01-15,249711971.8,-32870979.25,-0.13163557603208192
2017-01-16,249711971.8,-32861561.59,-0.13159786194119508
2017-01-17,249711971.8,-43227181.46000001,-0.17310816597380296
2017-01-18,249726971.8,-42736265.65,-0.17113195800182285
2017-01-19,249726971.8,-42688139.650000006,-0.17093924353588788
2017-01-20,249776971.8,-42575437.23000001,-0.17045381294834006
2017-01-21,251076971.8,-32870979.25,-0.13091992871486433
2017-01-22,251076971.8,-32870979.25,-0.13091992871486433
2017-01-23,251076971.8,-42795547.440000005,-0.17044791934996567
2017-01-24,251206971.8,-42785691.70999999,-0.17032047878059725
2017-01-25,251371971.8,-42026080.6,-0.16718681999056506
2017-01-26,251486971.8,-41680579.69000001,-0.16573653653576662
2017-01-27,251586971.8,-41793094.77000002,-0.16611788150629514
